,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,msT3LrLB4fhN04HYHuFsew,bella-trattoria-san-francisco,Bella Trattoria,https://s3-media3.fl.yelpcdn.com/bphoto/F6brRu1SbHlyBrqezunFKQ/o.jpg,False,https://www.yelp.com/biz/bella-trattoria-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1540,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"['pickup', 'delivery']",$$,+14152210305,(415) 221-0305,3131.066552447063,37.78136,-122.46092107729817,3854 Geary Blvd,,,San Francisco,94118,US,CA,"['3854 Geary Blvd', 'San Francisco, CA 94118']"
1,8dUaybEPHsZMgr1iKgqgMQ,sotto-mare-oysteria-and-seafood-san-francisco,Sotto Mare Oysteria & Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/o3hIcGLMxV_5ynxEjGWGrw/o.jpg,False,https://www.yelp.com/biz/sotto-mare-oysteria-and-seafood-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,4171,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"['pickup', 'delivery']",$$,+14153983181,(415) 398-3181,4976.893507610494,37.79979,-122.40834,552 Green St,,,San Francisco,94133,US,CA,"['552 Green St', 'San Francisco, CA 94133']"
2,4KfQnlcSu4bbTqnvGdGptw,beretta-san-francisco,Beretta,https://s3-media2.fl.yelpcdn.com/bphoto/HKxMJ8q8fzOY76hy7ACIag/o.jpg,False,https://www.yelp.com/biz/beretta-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,3844,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['restaurant_reservation', 'delivery']",$$,+14156951199,(415) 695-1199,1597.4296046727525,37.753869,-122.420611,1199 Valencia St,,,San Francisco,94110,US,CA,"['1199 Valencia St', 'San Francisco, CA 94110']"
3,B09WOy0W83Od-Xw4xEXxog,roma-antica-san-francisco-3,Roma Antica,https://s3-media1.fl.yelpcdn.com/bphoto/uPPwdSVkRw4hrRQTynvJBA/o.jpg,False,https://www.yelp.com/biz/roma-antica-san-francisco-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,906,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]",4.5,"['pickup', 'delivery']",$$,+14158964281,(415) 896-4281,4351.770689153734,37.79989,-122.4408,3242 Scott St,,,San Francisco,94123,US,CA,"['3242 Scott St', 'San Francisco, CA 94123']"
4,FRpULkKmvD9caSKabQzq5w,the-italian-homemade-company-san-francisco-6,The Italian Homemade Company,https://s3-media1.fl.yelpcdn.com/bphoto/_qcdK6AaYatHTLiNNeO69Q/o.jpg,False,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1049,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"['pickup', 'delivery']",$$,+14156559325,(415) 655-9325,4089.4935544669324,37.79742,-122.43097,1919 Union St,,,San Francisco,94123,US,CA,"['1919 Union St', 'San Francisco, CA 94123']"
5,z1vcsPf9EgBofmg5luEkAQ,fiorella-clement-san-francisco-3,Fiorella -Clement,https://s3-media2.fl.yelpcdn.com/bphoto/3ZnuF9KMc6srDrxDkR4mww/o.jpg,False,https://www.yelp.com/biz/fiorella-clement-san-francisco-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,518,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"['pickup', 'delivery']",$$,+14153403049,(415) 340-3049,4826.504704131145,37.7819188861214,-122.484491206706,2339 Clement St,,,San Francisco,94121,US,CA,"['2339 Clement St', 'San Francisco, CA 94121']"
6,XhJ6ZYagcWNHpJ1H1KvNlQ,a-mano-san-francisco-2,a Mano,https://s3-media4.fl.yelpcdn.com/bphoto/ezG_zJwov2QNZwyK14EkwA/o.jpg,False,https://www.yelp.com/biz/a-mano-san-francisco-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1163,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,['delivery'],$$,+14155067401,(415) 506-7401,2100.777699621916,37.776963880538,-122.423868469312,450 Hayes St,,,San Francisco,94102,US,CA,"['450 Hayes St', 'San Francisco, CA 94102']"
7,0wqsFH-Z_Chg3O6N-d0PAg,fiorella-sunset-san-francisco-3,Fiorella - Sunset,https://s3-media1.fl.yelpcdn.com/bphoto/JGLdSYoMW9XdHbiJUCrNow/o.jpg,False,https://www.yelp.com/biz/fiorella-sunset-san-francisco-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,48,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",$$$,+14154046997,(415) 404-6997,2657.585689634451,37.76515,-122.46605,1240 9th Ave,,,San Francisco,94122,US,CA,"['1240 9th Ave', 'San Francisco, CA 94122']"
8,MaaySW1ejpwQCkr9jn1glA,the-tailors-son-san-francisco,The Tailor's Son,https://s3-media2.fl.yelpcdn.com/bphoto/P4NfQ7KFvHpcfBcOwxBZJA/o.jpg,False,https://www.yelp.com/biz/the-tailors-son-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,138,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,['restaurant_reservation'],,+14156737200,(415) 673-7200,3088.5469839843977,37.788589,-122.434054,2049 Fillmore St,,,San Francisco,94115,US,CA,"['2049 Fillmore St', 'San Francisco, CA 94115']"
9,NWu1cDtYArkjWw2F8PzU9Q,spiazzo-ristorante-san-francisco,Spiazzo Ristorante,https://s3-media3.fl.yelpcdn.com/bphoto/hdWxqpe1j2Wr5ZnNp9KLXQ/o.jpg,False,https://www.yelp.com/biz/spiazzo-ristorante-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,737,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",4.0,"['pickup', 'restaurant_reservation']",$$,+14156649511,(415) 664-9511,3456.7014785162905,37.74035,-122.46588,33 W Portal Ave,,,San Francisco,94127,US,CA,"['33 W Portal Ave', 'San Francisco, CA 94127']"
10,K9XVDlPNhrrSVEJN7uWqJQ,the-italian-homemade-company-san-francisco-8,The Italian Homemade Company,https://s3-media3.fl.yelpcdn.com/bphoto/tpeTNMLfiseXeQ1AhE4_eQ/o.jpg,False,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-8?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1661,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}]",4.5,"['pickup', 'delivery']",$$,+14157128874,(415) 712-8874,5030.673143869842,37.801752,-122.411851,716 Columbus Ave,,,San Francisco,94133,US,CA,"['716 Columbus Ave', 'San Francisco, CA 94133']"
11,dTWMVRcMVC4zynbFQC7A2A,seven-hills-san-francisco,Seven Hills,https://s3-media1.fl.yelpcdn.com/bphoto/kRSCkWlB99vxEBtBZGhG2g/o.jpg,False,https://www.yelp.com/biz/seven-hills-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1110,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,[],$$$,+14157751550,(415) 775-1550,4428.257650944676,37.7981712,-122.4186984,1896 Hyde St,,,San Francisco,94109,US,CA,"['1896 Hyde St', 'San Francisco, CA 94109']"
